"","fecha","ref_asylum_US","US_mig_stock","MEX_mig_stock","total_entradas","visitante_permiso_trabajo","total.ocupada.jov","PIB_pc","FBCF","migracion_interna"
"36",2014 Q2,-0.515733000361586,0.218501864199809,-0.930484163993205,-0.164927430513698,1.46356188384333,-0.0208330741737759,0.220592790619905,0.244947355523478,0.756230224105103
"37",2014 Q3,-0.461390408027117,0.27510582596134,-0.929506259284036,-0.048829015939526,1.04243833834347,0.588054342211822,0.294402250678627,1.02955647393438,0.739589517075092
"38",2014 Q4,-0.405041105117124,0.331955317732474,-0.928526183353382,0.0858206389562779,1.13984106315296,-0.242667388678963,0.32228888360283,1.06101810899938,0.721016010564658
"39",2015 Q1,-0.346610989768575,0.389051404544413,-0.927543931381547,0.220470293852082,1.23724378796245,-1.06026340933734,0.350280922053573,1.09321080983014,0.703433577425325
"40",2015 Q2,-0.286023223756669,0.446395156048132,-0.926559498536806,0.355119948747886,1.33464651277195,-0.648329782392204,0.378378764441272,1.12615156401052,0.686765233226136
"41",2015 Q3,-0.223198131449117,0.503987646534408,0.308352335748037,0.48976960364369,1.43204923758144,0.193299152059651,0.406582810682249,1.01174329886118,0.670941766398619
"42",2015 Q4,-0.155390633599369,0.537152306550601,0.322411130159262,0.653060322333024,1.12838191905773,0.485427967875964,0.512023778533333,1.0396927638423,0.652483784990202
"43",2016 Q1,-0.0849768712168423,0.570399449336142,0.336587623723574,0.816351041022358,0.824714600534018,-1.19764729667028,0.618949096003537,1.06822687419101,0.635093860347834
"44",2016 Q2,-0.0118566693204404,0.603729280031394,0.350882801809357,0.979641759711692,0.521047282010307,-0.672746982967824,0.727379659086487,1.0973578594872,0.618682167125977
"45",2016 Q3,0.0640739974194623,0.637142004286776,0.365297658034319,1.14293247840103,0.217379963486596,0.144862664881405,0.837336657940023,-0.317985657431355,0.60316867868504
"46",2016 Q4,0.142923152673913,0.67063782826417,0.379833194334766,1.28166378298323,0.0535142029247446,-0.546251221128754,0.880715453451121,-0.317985063675326,0.590840991828936
"47",2017 Q1,0.22480297213654,0.704216958638348,0.39449042103503,1.42039508756543,-0.110351557637107,-1.64663870642897,0.924331816861285,-0.317984469864341,0.579062204445861
"48",2017 Q2,0.309829943111662,0.737879602597944,0.409270356917773,1.55912639214764,-0.274217318198958,-1.11956076762774,0.968187049232599,-0.31798387599843,0.567796649046614
